time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,396,691,0,0,0,0,0,0,0,0,0,0,0,0
125,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
141,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
156,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
172,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
188,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
203,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
219,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
235,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
250,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
266,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
281,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
297,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
313,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
328,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
344,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
360,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
375,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
391,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
406,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
422,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
438,0,396,691,0,0,0,0,0,0,0,0,0,0,0,0
453,1,396,691,0,0,0,0,0,0,0,0,0,0,0,0
485,1,394,683,0,0,0,0,0,0,0,0,0,0,0,0
500,1,394,681,0,0,0,0,0,0,0,0,0,0,0,0
516,1,393,677,0,0,0,0,0,0,0,0,0,0,0,0
531,1,391,674,0,0,0,0,0,0,0,0,0,0,0,0
547,1,389,668,0,0,0,0,0,0,0,0,0,0,0,0
578,1,388,665,0,0,0,0,0,0,0,0,0,0,0,0
594,1,386,661,0,0,0,0,0,0,0,0,0,0,0,0
610,1,386,658,0,0,0,0,0,0,0,0,0,0,0,0
